Time (s),Pack Current (A),Mode,Cell 1 Voltage (V),Cell 1 SoC (%),Cell 1 Balancing Active,Cell 2 Voltage (V),Cell 2 SoC (%),Cell 2 Balancing Active,Cell 3 Voltage (V),Cell 3 SoC (%),Cell 3 Balancing Active,Cell 4 Voltage (V),Cell 4 SoC (%),Cell 4 Balancing Active
62,1.5,CC,3.555333333333334,16.033333333333392,0.0,3.513044217687075,11.054421768707467,0.0,3.594591503267974,21.013071895424833,0.0,3.528416666666667,13.04166666666671,0.0
63,1.5,CC,3.5555000000000003,16.050000000000058,0.0,3.513214285714286,11.071428571428555,0.0,3.594705882352941,21.02941176470588,0.0,3.528584677419355,13.058467741935528,0.0
64,1.5,CC,3.555666666666667,16.066666666666727,0.0,3.513384353741497,11.088435374149643,0.0,3.5948202614379086,21.045751633986924,0.0,3.5287526881720437,13.075268817204346,0.0
65,1.5,CC,3.5558333333333336,16.083333333333393,0.0,3.5135544217687076,11.105442176870731,0.0,3.594934640522876,21.062091503267972,0.0,3.5289206989247317,13.092069892473166,0.0
66,1.5,CC,3.5560000000000005,16.100000000000062,0.0,3.5137244897959183,11.12244897959182,0.0,3.595049019607843,21.078431372549016,0.0,3.5290887096774197,13.108870967741984,0.0
67,1.5,CC,3.5561666666666674,16.116666666666728,0.0,3.5138945578231295,11.139455782312908,0.0,3.59516339869281,21.094771241830063,0.0,3.529256720430108,13.125672043010802,0.0
68,1.5,CC,3.556333333333334,16.133333333333397,0.0,3.5140646258503403,11.156462585033996,0.0,3.5952777777777776,21.111111111111107,0.0,3.529424731182796,13.142473118279622,0.0
69,1.5,CC,3.5565000000000007,16.150000000000063,0.0,3.514234693877551,11.173469387755084,0.0,3.595392156862745,21.127450980392155,0.0,3.5295927419354847,13.15927419354844,0.0
70,1.5,CC,3.556666666666667,16.166666666666732,0.0,3.5144047619047623,11.190476190476172,0.0,3.5955065359477123,21.1437908496732,0.0,3.5297607526881727,13.176075268817259,0.0
71,1.5,CC,3.556833333333334,16.1833333333334,0.0,3.514574829931973,11.207482993197262,0.0,3.5956209150326797,21.160130718954246,0.0,3.5299287634408607,13.192876344086077,0.0
